word,etymonline,emeaning,cmeaning
incontrovertible,"from contra- ""against"" (see contra) + versus (see verse) => 不可反转的",not open to question,adj. 不可争议的
indulgence,"perhaps from in- ""in"" + derivative of PIE root *dlegh- ""to engage oneself.""",intemperance / dissolution / prodigality,
interpose,from inter- (see inter-) + poser (see pose (v.1)),intercede / interrupt / intervene,
maize,,,玉米
mercurial,from mercury 水银(不稳定的) // = capricious = volatile // F immutable = steady,changeableness of mood,adj. (情绪)善变的/水星的/机智的
nomenclature,"from nomen ""name"" (see name (n.)) + calator ""caller, crier,"" from calare ""call out"" (see claim (v.))",,
oceanic,,marine,
odyssey,,,奥德赛
outstrip,"from out + M.E. strip ""move quickly""",overshadow / exceed / eclipse,
perfunctory,"from per- ""through"" + fungi ""perform"" (see function (n.)) => 全+表演 / = cursory",routine and superficial,"adj. 敷衍的, 呵呵的"
perpetual,"from per- ""through"" + root of petere ""to seek, go to, aim at"" (see petition) // = permanent // F ephemeral = transitory",continuing forever,"adj. 永恒的, 不断的"
prescient,"prescience: from L. prae ""before"" (see pre-) + scire ""to know"" (see science)",prophetic / farsighted / prognostic,
pretentious,"pretend: from prae ""before"" (see pre-) + tendere ""to stretch,"" from PIE root *ten- ""to stretch"" (see tend)",pompous / grandiloquent / grandiose,
radiant,,luminous / refulgent / joyful / elated,
recalcitrant,"from re- ""back"" (see re-) + L. calcitrare ""to kick"" => 说不动 / cal- 钙 // = balky // F tractable = docile",recalcitrant,"adj. 顽抗的, 不顺从的"
resilient,"from re- ""back"" (see re-) + salire ""to jump, leap"" (see salient)",pliable / elastic / irrepressible / flexible,
revelation,reveal,making known,"n. 爆料, 揭示"
specious,species 物种 [from PIE *spek- (see scope (n.1))] => 看(不出真假) // deceitful,false look of truth,"adj. 似是而非的, 欺骗性的"
sperm,"from PIE *sper- ""to strew"" (see sprout)",,
stymie,// encumber // impede // F facilitate // hindered,present an obstacle,vt. 阻碍
succumb,"from sub ""down"" (see sub-) + -cumbere ""take a reclining position"" related to cubare ""lie down"" (see cubicle) => 躺下 // capitulate / incubate / incumbent / recumbent / cumbersome","1. yield to strength
2. be brought to death","v. 屈服
v. 死亡"
tangent,"from PIE root *tag- ""to touch, to handle"" // excursive // discursive",irrelevant,n. /adj. 离题(的) 不相关(的)
tendentious,tendency/tenet,biased,adj. 有偏见的
unfounded,un + found,unjustified / baseless / unproven,
versatile,"frequentative of vertere ""to turn"" (see versus) from pp. stem of versare ""keep turning, be engaged in something, turn over in the mind"" => 玩转多个领域的 // protean / servile 低下的/卑屈的",different things,"adj. 多才多艺的, 全能的"
vindicate,"from vim, accusative of vis ""force"" (vice) + root of dicere ""to say"" (see diction 措词) 无罪证明清白 // exculpate 有罪洗白 / vindictive 复仇的","1. free from blame
2. give evidence","vt. 为…平反, 为… 辩护, 使无罪
vt. 证明, 证实"
volatile,"from pp. stem of volare ""to fly"" (see volant 飞的) ",rapid change,adj. 多变的
zealot,zeal,extreme following a political or religious belief,"n. 狂热者, 极端主义者"
affinity,"finis ""a border, an end"" (see finish) => 边界相邻的 => ""natural attraction"" (as though by family) // confine 强调范围 => 限制","1. attraction
2. in common","n. 喜欢, 倾向
n. 相似"
aggrandize,grand // F relegate 把…降级/把…归类,enhance,vt. 增加、提高(力量、财富、地位、声誉)等
bout,,turn / period,
camouflage,/,behavior to deceive or hide,"v. /n. 伪装, 伪装手段"
catholic,"from kata ""about"" + gen. of holos ""whole"" (see safe (adj.))",not limited or specialized,"adj. 普遍的, 包容的"
circumspect,"from circum- ""around"" (see circum-) + specere ""to look"" (see scope (n.1)) => 四处看 / = prudent",prudent,"adj. 谨慎的, 小心的"
compile,"from com- ""together"" (see com-) + pilare ""to compress, ram down.""",accumulate / amass / gather,
condense,"from com-, intensive prefix (see com-), + densare ""make thick,""",contract / compress / abridge / abbreviate,
decent,"from PIE *deke-, from root *dek- ""to take, accept, to receive, greet, be suitable""",appropriate / becoming / decorous,
dilemma,"from di- ""two"" + lemma ""premise, anything received or taken,"" from root of lambanein ""to take"" (see analemma)",plight / quandary,
earthly,,corporeal,
emblematic,"emblem: from en ""in"" (see en- (2)) + ballein ""to throw"" (see ballistics)",symbolic / exemplary / representative,
endogamy,"see endo- + gamete[L. gener ""son-in-law"")]",,近亲交配
entail,"from en- (1) ""make"" + taile ""legal limitation"" / tail 尾巴 // cause // = involve",cause,"v. 牵连, 导致"
epidemic,"from epi ""among, upon"" (see epi-) + demos ""people, district"" (see demotic)",plague / scourge,
epoch,"from epi ""on"" (see epi-) + ekhein ""to hold"" (see scheme)",period,
erroneous,"from errare ""to wander, err"" (see err)",inaccurate / awry / fallacious / misguided,
erudite,"from ex- ""out"" (see ex-) + rudis ""unskilled, rough, unlearned"" (see rude) => 脱离无知 // 酱油词 / = polymath",learned,adj. 博学的
exogamy,from exo- + -gamy,,异系结合
expedient,"expedite: from ex- ""out"" (see ex-) + *pedis ""fetter, chain for the feet,"" related to pes (gen. pedis) ""foot"" (see foot)",makeshift / tactic / measure,
fetus,"from Latin base *fe- ""to generate, bear,"" also ""to suck, suckle"" (see fecund)",,
galvanize,galvanism 直流电/电疗,"stimulate, excite",vt. (好似用电击)刺激
grandeur,"from grand ""great"" (see grand (adj.)) // = augustness // F frivolousness = insignificance",grand,"n. 宏伟, 壮丽"
grandiose,grand // = pompous // F modest = humble,grandeur,"adj. 自命不凡的, 浮夸的/宏伟的"
hamper,/,"restrict the movement, impede",vt. 阻碍
haphazard,// hap- = happen // = aimless = random,"lack of plan, order, or direction","adj. 无秩序的, 无目标的"
heir,"""heir, heiress"" (see heredity)",inheritor / successor / descendant,
hibernation,"related to hiems ""winter,"" from PIE *gheim- ""snow, winter""",,
hoard,"from PIE root *(s)keu- ""to cover, conceal"" (see hide (n. 1)) ",keep hidden,"v. 贮藏, 秘藏"
hormone,,,荷尔蒙
hydrothermal,from hydro- + thermal,,
ingenious,"from in- ""in"" (see in- (2)) + gignere, from PIE *gen- ""produce"" (see genus) // ingenuous","resourcefulness, cleverness","adj. 聪明的, 有创造才能的"
inimical,enemy // = unfriendly = antagonistic,hostility,adj. 带有敌意的
instigate,"from in- ""in"" (see in- (2)) + *stigare, a root meaning ""to prick"" from PIE root *steig- ""to prick, stick, pierce"" (see stick (v.) 刺穿/棍棒/粘贴) => 在内部刺激 / distinctive / extinguish / prestige / stickler / stiff / stifle / stigma / stingy / stipple / stipulate / stitch","urge forward, stir up","vt. 煽动, 激起"
interwine,,interweave,
juxtaposition,"from stem of iugum ""yoke,"" from iungere ""to join"" (see jugular)",proximity / vicinity,
ludicrous,"from PIE root *leid- ""to play""",meriting derisive laughter,"adj. 荒唐的, 可笑的"
morphological,morphology: Morpheus,structural,
obsequious,"from ob ""after"" (see ob-) + sequi ""to follow"" (see sequel) => 跟在后头 / prosecution 起诉 / = hagiographic 圣人的传记的",fawning attentiveness,"adj. 谄媚的, 奴性的"
onerous,onus 负担/耻辱 // exonerate 解除麻烦 => 免除责任 // = troublesome = burdensome = arduous // F light = undemanding 要求不高,"required much time, effort",adj. 费时间花心思的
optimal,"thus from PIE root *op- ""to work"") or to ob ""in front of,"" with superlative suffix *-tumos. Originally in biology",optimum / ideal / supreme / prime,
overwhelm,"whelm [O.E. helmian ""to cover"" (see helmet)] // inundate 淹没 // abundant 水流出堤岸",cover with a flood,v. 淹没
parliament,"from parler ""to speak"" (see parley (n.))",congress,
patent,"from PIE *pete- ""to spread"" (see pace (n.)) => 公开的(技术) => 专利 // = manifest // F hidden = concealed","1. readily visible
2. an official right only allowed to make or sell","adj. 显而易见的, 明显的
n. 专利"
pertinent,"from per- ""through"" (see per) + tenere ""to hold"" (see tenet) => 完全+抓住 / pertain",having a clear relevance,"adj. 相关的, 恰当的"
posthumous,,,死后的
pottery,potter,,
refractory,/,resisting control,"adj. 倔强的, 不顺从的"
regime,from regere (see regal),reign / regimen / period / interval,
relic,"from re- ""back"" + root of linquere ""to leave"" (see relinquish)",vestige,
replenish,"from re-, here probably an intensive prefix + -plenir, from L. plenus ""full"" (see plenary 完全的) // refill / implement / plebeian / complementary / deplete",fill again,v. 补充
satire,,irony / mockery / burlesque,
saturate,"from satur ""sated, full"" from PIE root *sa- ""to satisfy"" (see sad) ",wet thoroughly,"vt. /adj. 使饱和, 浸透"
serene,sere 干枯的,free from uproar,adj. 安静的
spur,spurn 冷落 / spurring = fostering,"1. arouses action
2. incite","n. 刺激物/马刺
vt. 刺激, 激励"
spurious,/,lacking authenticity,"adj. 假的, 伪造的"
stagger,,astound / stun / stupefy / totter / lurch,
starch,"from PIE root *ster- ""strong, firm, stiff, rigid"" (see stark[from PIE root *ster- ""stiff, rigid"" (see stare)])",,淀粉
submissive,submit 使屈服 => under + send => 送到(领导)的(控制)之下 // missile 导弹(送出去的东西) / surmise / manumit / intermittent / remiss / unremitting / compromise,submitting,"adj. 服从的, 顺从的, 恭顺的"
tenet,,principle / doctrin / precept / canon,
thrust,"from PIE *trud- ""push, press"" (see threat)",gist / thesis / intention / tenor / stab / shove,
transitory,"""go or cross over"" (see transient)",lasting only a short time,adj. 短暂的
upbeat,向上敲击 => (音调)上升 / offbeat,"1. a good mood
2. inspire hope","adj. 心情好的
adj. 给人希望的, 象征好运的"
vain,"from root *eue- ""to leave, abandon, give out""",abortive / ineffective / futile / arrogant / complacent / overweening / haughty,
vascular,"dim. of vas ""vessel.""",,脉管的，血管的
vigilant,"from L. vigilantia ""wakefulness"" from vigilia (see vigil 守夜) // 后缀同义词 attentive", alertly watchful,"adj. 警醒的, 警惕的"
witty,"wit: from PIE *woid-/*weid-/*wid- ""to see,"" metaphorically ""to know"" (see vision)",humorous / jocular / amusing / scintillating,
abate,"from L. ad ""to"" (see ad-) + battuere ""to beat"" (see batter (v.)) => 敲掉 // = downscale // F augment 扩大，增加 = promote","1. reduce degree intensity
2. reduce amount or value","v. 减轻(程度或者强度)
v. 减少(数量)降低(价值)"
assail,"from L. ad- ""at"" (see ad-) + salire ""to leap 跳跃"" (see salient 突出的/弹跳的) ",criticize harshly,"vt. 抨击, 严厉批评"
bump,,lump / knot / bulge / protuberance,
candid,"from PIE root *kand- ""to glow, to shine"" (see candle)",aboveboard / forthright / outspoken / frank,
chaotic,"from PIE root *gheu-, *gh(e)i- ""to gape"" see yawn",disorganized / messy / jumbled,
clandestine,"from adverbial derivative of base of celare ""to hide"" (see cell) perhaps on model of intestinus ""internal"" / = covert",kept in secret,"adj. 隐藏的, 秘密的"
collide,"from com- ""together"" (see com-) + laedere ""to strike, injure by striking,"" of unknown origin",clash / conflict / diverge,
compassionate,"from com- ""together"" (see com-) + pati ""to suffer"" (see passion)",sympathetic / benevolent / humanitarian,
consummate,"pp. of consummare ""sum up, complete"" (see consummation 实现 [from com- ""together"" (see com-) + summa ""sum, total"" from summus ""highest"" (see sum)]) => 积累起来","1. extremely skilled
2. perfect ","adj. 专业的, 有造诣的
adj. 无纰漏的, 完美的"
cult,"pp. of colere ""to till"" (see colony)",craze / fashion / fad,
decompose,"de + compose [from com- ""with"" (see com-) + poser ""to place,"" from L.L. pausare ""to cease, lay down,"" ultimately from L. ponere ""to put, place"" (see position)]",decay / rot / crumble,
deflect,"from de- ""away"" (see de-) + flectere ""to bend"" (see flexible) // reflect = redirect",turn aside from a straight course,"vt. 使偏斜, 使转向"
delineate,"from de- ""completely"" (see de-) + lineare ""draw lines"" from linea ""line"" (see line (n.)) => 完整描绘(画线) // depict 图示 [from de- ""down"" (see de-) + pingere""to paint"" (see paint (v.))] // display","describe, portray","vt. 描写, 描绘"
diffuse,"from dis- ""apart, in every direction"" (see dis-) + fundere ""pour"" (see found (2)) => 分开流 / suffuse / effusive / infuse / profuse","1. verbose
2. extend, scatter","adj. 啰嗦的 
v. 扩展, 散开"
dissipate,"from dis- ""apart"" (see dis-) + supare ""to throw, scatter"" from PIE *swep- ""to throw, sling, cast"" // sip 小口吃喝 // = squander // F husband","1. drive away
2. disperse","vt. 驱散 
vt. 浪费"
eccentric,"from ek ""out"" (see ex-) + kentron ""center"" (see center) => 不在中间(脱离常轨)",deviating conventional,"adj. 行为出格的, 不循规蹈矩的"
edify,"from L. aedificare ""to build, construct,"" in Late Latin ""improve spiritually, instruct"" (see edifice)",instruct / enlighten / indoctrinate / inform,
efficacious,effect + acious,produce a desired effect,adj. 有效的
feasible,"from L. facere ""do, perform"" (see factitious)",achievable / attainable / viable / practicable,
fickle,"from PIE *peig- ""evil-minded, treacherous, hostile""",likely to change,adj. 易变的
flounder,"ultimately cognate with Gk. platys ""flat, wide, broad"" (see plaice (n.)) ",act clumsily,"vi. 笨拙地行动, 挣扎"
forgo,"from for- ""away"" + gan ""go"" (see go)",abandon / abdicate / cede,
genus,"from PIE root *gen(e)- ""produce, beget, be born"" (cf. Skt. janati ""begets, bears,"" janah ""race,"" janman- ""birth, origin,"" jatah ""born""",,【生物学】 类，属
hive,蜂箱,"1. activity
2. store up","n. 忙碌之地
v. 储备, 积累"
igneous,"from PIE *egni- ""fire""","Of, relating to, or characteristic of fire",
immutable,"in- ""not, opposite of"" (see in- (1)) + mutabilis ""changeable"" from mutare""to change"" (see mutable) // commute => 一起+改变 => 交换",not capable of changing,adj. 不可变的
impartial,in + part,dispassionate / objective / detached,
insular,isle 一座岛屿 // = parochial 堂区的 = provincial // F cosmopolitan 世界性眼光的,narrow provincial viewpoint,"adj. (观念, 想法等)孤立狭隘的"
intractable,"from in- ""not, opposite of"" (see in- (1)) + tractabilis (see tractable)",stubborn / obdurate / unyielding / disobedient,
intransigent,"from in- ""not"" (see in- (1)) + transigente ""compromising""",refusal to compromise,"adj. 不妥协的, 固执的"
lyric,from lyra (see lyre) // = euphonious // F prosaic = boring,suggestive of poetry or music,adj. 如诗歌般流畅甜美的
manuscript,"from manu, ablative of manus ""hand"" (see manual (adj.)) + scriptus (neut. scriptum)",written by hand,n. 手稿
marvel,"from mirari ""to wonder at"" from mirus ""wonderful"" (see smile)","1. surprise, admiration, or wonder
2. feel amazement","n. 令人惊奇的食物
v. (因为壮观、美丽等而)表示惊讶"
obfuscate,"from ob ""over"" (see ob-) + fuscare ""to make dark"" from fuscus ""dark"" (see dusk) => 一片黑 // = mystification 谜一样的 = blur // illuminate = elucidate",confused opaque 不透明的,"vt. 使困惑, 使模糊"
paucity,"from PIE root *pau- ""few, little"" (cf. L. paullus ""little"" O.E. feawe ""few"" see few (adj.) // = deficit // F abundance = adequacy ",dearth,"n. 少量, 缺乏"
photon,,,
premise,"from prae ""before"" (see pre-) + mittere ""to send"" (see mission)",supposition / hypothesis / postulation,
propagate,"from pro- ""forth"" (see pro-) + *pag-, root of pangere ""to fasten"" (see pact) => 向前(传播)变快 // = spread = multiply // F eradicate 根除 = check",spread out,"v. 传播, 宣传"
prosaic,"prose 散文 [from pro- ""forward"" (see pro-) + vorsus ""turned"" pp. of vertere ""to turn"" (see verse)] // prose 单调/散文 = mundane = commonplace // F exceptional = ingenious",being in the normal course of events,"adj. 单调的, 常见的/散文的"
quiescent,"from quies ""rest, quiet"" (see while) // = inert / F active = tumultous",inactive,"adj. 平静的, 静止的"
rationale,"rational from ratio (gen. rationis) ""reckoning, calculation, reason"" (see ratio)",explain,"n. 基本原理, 解释"
rift,riven,break ,"n. 分裂, 不和"
scorn,"from L. ex- ""without"" + cornu ""horn"" => 没有角","reject, contemptible","vt. 轻蔑, 鄙视, 不屑"
sequemtial,"prp. of sequi ""to follow"" (see sequel)",consecutive / successive / serial / sequent,
suffrage,"from sub ""under"" (see sub-) + fragor ""crash, din, shouts (as of approval),"" related to frangere ""to break"" (see fraction)",the right for voting,
syndrome,"from syn- ""with"" (see syn-) + dromos ""running, course"" (see dromedary)",,
telling,// convincing,effective,"adj. 有效的, 显著的"
vex,"from vexus, collateral form of vectus, pp. of vehere ""to draw, carry"" (see vehicle) // be vexed by // grate 磨碎/使气恼 // nettle 荨麻/使烦恼/激怒",bring agitation 摇动/搅动,"vt. 使烦恼, 使恼怒"
vitiate,"from vitium ""fault, defect, blemish, crime, vice"" (see vice (1)) ",reduce the values,"v. 削弱, 损害"
abstruse,"trudere ""to thrust, push"" (see extrusion 挤压) => 费力理解 // = esoteric 秘传的",recondite,adj. 难以理解的
adulation,"from ad- ""to"" (see ad-) + ulos ""tail,"" from PIE *ul- ""the tail"" (cf. Skt. valah ""tail,"" Lith. valai ""horsehair of the tail""). The original notion is ""to wag the tail"" like a fawning dog",praise / fawning / sycophancy,
allude,"from ad- ""to"" (see ad-) + ludere ""to play"" (see ludicrous) => 在play(乐器) => 弦外之音 / allure 引诱 / lure 吸引力/诱惑 / collude / illusort / ludicrous / delusion / elude",indirectly,vi. 间接提到
antipathy,"from anti- ""against"" (see anti-) + root of pathos ""feeling"" (see pathos 悲悯) // F amity / = repugnant = repel = aversion",aversiondislike,"n. 厌恶, 反感"
arduous,"from PIE root *eredh- ""to grow, high"" (see ortho-) ",difficult,"adj. 难以做到的, 费劲的"
bloom,"L. flos ""flower,"" florere ""to blossom, flourish""), extended form of *bhel- (2) ""to blow, inflate, swell"" (see bole)",flourish / burgeon / sprout,
brute,"from PIE root *gwer- ""heavy"" (see grave (adj.))",cruel / savage / atrocious,
ceramic,,,陶瓷
cling,,adhere,vi. 紧贴支持
cognizant," from com- ""together"" (see co-) + gnoscere ""to know"" (see notice) ",aware,"adj. 知道的, 意识到的"
conscientious,"from com- ""with"" or ""thoroughly"" (see com-) + scire ""to know"" (see science) => 全知道的 => 观察仔细的 / omniscient","1. governed by conscience
2. showing great care","adj. 有良心的, 正直的
adj. 仔细的, 一丝不苟的"
consolidate,"from com- ""together"" (see com-) + solidare ""to make solid"" (see solid)",make firm,"v. 加固, 使安全"
cosmopolitan,"cosmopolite 世界公民 [from kosmos ""world"" (see cosmos) + polites ""citizen"" (see politic)]",having worldwide scope,"adj. 有世界性眼光的, 包容的"
daunting,"from L. domitare, frequentative of domare ""to tame"" (see tame)",formidable / sensational / horrifying / menacing,
debris,"de- (see de-) + briser ""to break""",discarded useless material,n. 废墟
degenerate,"from phrase de genere, from de + genus (gen. generis) ""birth, descent"" (see genus)",corrupt / decay / deteriorate / retrogree,
denounce,"from nuntius ""messenger"" (see nuncio 罗马教皇的使节或代表) => 不好的公开宣告",public or formal disapproval,vt. 公开指责
depress,"from de- ""down"" (see de-) + premere ""to press"" (see press (v.1))",debase / diminish / lessen / deject / upset,
diesel,,,柴油机
dispense,"from dis- ""out"" (see dis-) + pendere ""to pay, weigh"" (see pendant)",allocate / assign / relinquish / forgo,
dynamo,,,发电机
elucidate,"from ex- ""out, away"" (see ex-) + lucidus ""clear"" (see lucid) // lucid // pellucid 阐明",make lucid,v. 阐明
erratic,"errare ""to wander, err"" (see err) / errant 误入歧途",not constant,adj. 善变的
espouse,espousal 订婚约 // = support // = embrace,support,"vt. 支持, 拥护/出席婚礼"
evanescent,"from ex- ""out"" (see ex-) + vanescere ""vanish"" (see vanish) / evacuate",vanish,"adj. 逐渐消失的, 短暂的"
exotic,"from exo ""outside"" (see exo-) // exotic taste 异域风情",unusual,"adj. 外来的, 不同寻常的"
extant,"from ex- ""out"" (see ex-) + stare ""to stand"" from PIE root *sta- ""to stand"" (see stet)",not destroyed,adj. 现存的
facet,dim. of face (see face),aspect / side / respect,
fastidious,/ = picky,meticulous attention to detail,"adj. 挑剔的, 极仔细的, 追求完美的"
feign,"from L. fingere ""to touch, handle, devise, fabricate, alter, change"" (see fiction) // = appear",give a false appearance,"vt. 制造假象, 装出…的样子"
flora,"from *flo-s-, Italic suffixed form of PIE *bhle- ""to blossom, flourish""",,植物群
gradient,"from grade (n.) by analogy of quotient [商 from quot ""how many,"" related to quis ""who""]",inclination,
halt,see hold,impede / hinder / stop / cease / hamper,
heroine,fem. of heros (see hero (n.1)),,
incur,"from in- ""upon"" (see in- (2)) + currere ""to run"" (see current)",induce / provoke / arouse,
ingenuous,"from in- ""in"" (see in- (2)) + gen-, root of gignere ""beget, produce"" (see genus) // genuine // disingenuous // ingenious / indigenous 土产的/与生俱来的",lacking cunning,adj. 天真淳朴的
innate,"from in- ""in"" (see in- (2)) + nasci ""to be born"" (Old L. gnasci; see genus)",inborn / immanent / ingrained / inherent,
intervene,"from inter ""between"" (see inter-) + venire ""to come"" (see venue)",,
intimidate,"from L. in- ""in"" (see in- (2)) + timidus ""fearful"" (see timid) / intimate",frighten,vt. 威吓
inverse,"from in- ""in, on"" (see in- (2)) + vertere ""to turn"" (see versus)",opposite / contrary / converse / reverse,
isometric,"from Gk. isos ""equal"" (see iso-) + metron ""measure"" (see meter (n.2))",,
jeopardize,"jeopardy: from jeu ""a game"" (from L. iocus ""jest;"" see joke) + parti, pp. of partir ""to divide"" (see part (v.))",compromise / hazard / imperil,
jettison,jet // = abandon // F rescue = salvage 抢救,get rid of,"vt. 放弃, 拒绝接受(想法, 计划等)"
lactic,"from L. lactis, gen. of lac ""milk"" (see lactation) + Fr. -ique","Of, relating to, or derived from milk",
legacy,"noun use of pp. of legare ""appoint by a last will, send as a legate"" (see legate 使节) / legend 传奇",handed down from an ancestor,n. 遗产
leopard,,,豹
lethal,/ lethargic 没精打采的 // = fatal // F healthy = wholesome,extremely harmful,"adj. 非常有害的, 致命的"
mandate,"probably from manus ""hand"" (see manual) + dare ""to give"" (see date (n.1)).",empower / accredit / instruction / authorization,
mediate,medial // med- = middle // 该管的调停,bring about an agreement,"vt. 调解, 调停"
milieu,"see medial (adj.)) + lieu ""place"" (see lieu) ",the physical or social setting,"n. 环境, 氛围"
mimic,"from mimos ""mime""","1. in appearance
2. model","adj. 仿真的, 仿造的
vt. 模仿"
misconstrue,"construe 解释/construction 构筑 [from com- ""together"" (see com-) + struere ""to pile up"" (see structure)] => 错误的解释 // = garble // F grasp = comprehend",mistake,"vi. 误解, 曲解"
motif,"from Fr. motif ""dominant idea, theme"" (see motive)",content / motive / subject,
obsolete,,no longer useful,"adj. 过时的, 被淘汰的"
orb,,,
panic,"from Gk. panikon, lit. ""pertaining to Pan,"" the god of woods and fields, who was the source of mysterious sounds that caused contagious, groundless fear in herds and crowds, or in people in lonely spots",anxiety / dread / fright,
pathogen,,,病原体
pedestrian,"from pes (gen. pedis) ""foot"" (see foot (n.)) => 用脚走路的 / expedite // = jejune // F gripping = engaging",causing weariness,"adj. 平庸无奇的, 令人厌倦的"
petroleum,"from L. petra ""rock"" (see petrous) + oleum ""oil"" (see oil (n.)).",,石油
pious,pure // devout // devote,showing devotion to divine 神的 worship,adj. (信仰上)虔诚的
primate,"from primus ""first"" (see prime (adj.))",,灵长目 / 大主教
profligate,"from pro- ""down, forth"" (see pro-) + fligere ""to strike"" (see afflict 折磨) => 歇斯底里 // proliferate 激增 // = spendthrift = squander // F frugal 节俭的 = provident 节俭的","1. recklessly 不顾一切 wasteful
2. people who spend money freely","adj. /n. 挥金如土的, 挥霍的
n. 败家子"
prolific,"from L. proles ""offspring"" + root of facere ""to make"" (see factitious). L. proles is from PIE *pro-al-, from *pro- ""forth"" (see pro-) + *al- ""to grow, nourish"" (see old)",productive / fecund / profuse,
prolix,"from pro- ""forth"" (see pro-) + base of liquere ""to flow"" (see liquid (adj.)) => 液体不断往前流 => 话多 // = verbose = garrulous // F terse = succinct",tending to speak at excessive length,"adj. 啰嗦的, 冗长的"
pronounced,"pronounce: from pro- ""forth, out, in public"" (see pro-) + nuntiare ""announce,"" from nuntius ""messenger"" (see nuncio)",strongly marked / blatant / conspicuous / patent / eye-catching,
prototype,,an original model,n. 原型
psyche,"from Gk. psykhe ""the soul, mind, spirit, breath, life, the invisible animating principle or entity which occupies and directs the physical body"" (personified as Psykhe, the lover of Eros), akin to psykhein ""to blow, cool,"" from PIE root *bhes- ""to blow"" (cf. Skt. bhas-)",spirit,
quixotic,堂吉珂德(Don Quixote)式的 // = impracticable = utopian // F oractical = pragmatic,more by ideals than by reality,"adj. 不切实际的, 空想的"
quotidian,"from L. quotus ""how many, which in order or number"" + dies ""day"" (see diurnal) => 数数 + 日子 => 每天都在数日子中度过 // = quiet = routine // F striking = remarkable",commonplace,"adj. 每日的, 平凡的"
rebellious,"rebel: from re- ""opposite, against,"" or perhaps ""again"" (see re-) + bellare ""wage war,"" from bellum ""war.""",refractory / wayward / recalcitrant / defiant / disobedient,
resent,"from re- intensive prefix + sentir ""to feel"" from L. sentire (see sense) => 强烈的感觉 // dissent // assent // against // re- = against",angry or upset,"v. 怨恨, 憎恨"
residual,residence 住所,of a residue,"adj. 剩余的, 残存的"
resort,"from re- ""again"" + sortir ""go out"" (see sortie)",To have recourse / A place frequented by people for relaxation or recreation,
resurgence,surge 汹涌 => again + rise / insurgent,restoration,n. 复兴
retrieve,"from re- ""again"" (see re-) + trouver ""to find"" probably from V.L. *tropare ""to compose"" (see trove 珍藏物) => 再次找回(珍藏) // trove 宝藏",get back again,"v. 寻回, 找回"
reverent,"from re-, intensive prefix, + vereri ""stand in awe of, fear,"" from PIE *wer- ""to be or become aware of""",respectful / deferential / reverential / devout,
revive,"from re- ""again"" (see re-) + vivere ""to live"" (see vital)",active again,vi. 再获新生
saline,salt,salty / brackish,
sebum,"from L. sebum ""suet, grease,"" probably related to sapo ""soap"" (see soap (n.))",,皮脂
semantic,"from semainein ""to show, signify, indicate by a sign,"" from sema ""sign""",,语义的
taxonomy,"from Gk. taxis ""arrangement"" (see taxidermy [from tassein ""arrange"" (see tactics) + derma ""skin.""]) + -nomia ""method,"" from -nomos ""managing,"" from nemein ""manage"" (see numismatics)","The science, laws, or principles of classification; systematics",
theatrical,theater,"exaggerated, unnatural","adj. 做作的, 夸张的, 矫揉造作的"
tilt,"from P.Gmc. *taltaz (cf. O.N. tyllast ""to trip"")","1. at an angle
2. being positioned at an angle","v. 倾斜
n. 倾斜"
tout,兜售 // oversell // ballyhoo 夸大广告,praise,vt. 极力赞扬
troupe,"from M.Fr. troupe ""company"" (see troop)",band / cast / company,
unanimous,"from unus ""one"" (see one/uni-) + animus ""mind"" (see animus 基本态度/敌意) => 一条心",having the consent of all,adj. 一致同意的
underscore,score 刻痕/记分 => 在下面划线,to emphasize,vt. 强调/下划线
upheaval,from up + heave (v.) + -al (2) => 被举起,convulsion / cataclysm / tumult / turbulence,
vagary,"from vagus ""roving 漫游, wandering"" (see vague 含糊的) ","erratic, unpredictable",n. 不可预测的思想或行为
vestige,"from L. vestigium ""footprint, trace""",smallest trace,"n. 微小的遗迹, 小痕迹 "
yarn,"from PIE root *ghere- ""intestine, gut, entrail""",thread / cotton / wool / fibre,
admonish,"from ad- ""to"" (see ad-) + monere ""advise, warn"" (see monitor (n.)) => 去monitor","1. give advice
2. reprove gently","v. 建议
v. 责备"
akin,kin,kinderd / similar / comparable / parallel,
altruistic,"altruism: from L. alteri, dative of alter ""other"" (see alter)",benevolent / charitable / philanthropic,
amass,"from à ""to"" (see ad-) + masser (see mass (1))",accumulate / assemble,
anarchy,"from an- ""without"" (see an- (1)) + arkhos ""leader"" (see archon)",disorder / riot / tumult,
anionic,,,阴离子的
antimatter,,,
approbation,"from ad- ""to"" (see ad-) + probare ""to try, test something (to find if it is good)"" from probus ""honest, genuine"" (see prove) // = approval / probe / reprobate / disprove",approval,n. 同意
august,augur 占卜官 // August // 奥古斯都 / = majestic,formal and serious or reserved 内向的 manner,"adj. 威严的, 庄重的"
auspicious,"auspex from *awi- ""bird"" + *spek- ""to see"" ",toward a happy outcome,adj. 好兆头的
benevolent,"from bene ""well"" (see bene-) + volantem (nom. volens) prp. of velle ""to wish"" (see will (v.))",altruistic / benign / philanthropic,
binary,"from bis ""double"" (see bis-)",,
bizarre,,odd / outlandish / peculiar / eccentric / grotesque,
canny,"from can (v.) in its sense of ""know how to"" lit ""knowing"" // astute // uncanny 神秘的(加了un没直接取反) // strange",careful and shrewd,"adj. 精明的, 聪明的"
